#逗号隔开的俗语
bcg' 百尺竿头，更进一步
bck' 病从口入，祸从口出
bds' 冰冻三尺，非一日之寒
bhq' 百花齐放，百家争鸣
bjk' 不积跬步，无以至千里
bjy' 不经一事，不长一智
blj' 兵来将挡，水来土掩
bmw' 兵马未动，粮草先行
bmz' 不鸣则已，一鸣惊人
bph' 不怕虎狼当面坐，就怕人前两面刀
bpy' 不怕一万，就怕万一
bqv' 不求有功，但求无过
brh' 不入虎穴，焉得虎子
bsb' 比上不足，比下有余
bsl' 不识庐山真面目，只缘身在此山中
bss' 摆事实，讲道理
bsy' 不是鱼死，就是网破
btb' 冰炭不言，冷热自明
btl' 不听老人言，吃亏在眼前
btr' 白头如新，倾盖如故
bts' 半桶水，响叮当
bxg' 八仙过海，各显其能 八仙过海，各显神通
bxy' 不孝有三，无后为大
byg' 不以规矩，不成方圆
byw' 不以物喜，不以己悲
bzq' 不在其位，不谋其政
bzy' 不自由，毋宁死
bzz' 百足之虫，死而不僵
cdk' 吃得苦中苦，方为人上人
cjc' 曾经沧海难为水，除却巫山不是云
cls' 此路是我开，此树是我栽，要想过此路，留下买路财
cms' 城门失火，殃及池鱼
cqb' 惩前毖后，治病救人
crj' 吃人家饭，受人家管
crx' 仇人相见，分外眼红
csb' 成事不足，败事有余
css' 楚虽三户，亡秦必楚
cvs' 尺有所短，寸有所长
cwd' 朝闻道，夕死可矣
cxv' 乘兴而来，败兴而归
cyh' 差以毫厘，失之千里
cyq' 吃一堑，长一智
cys' 此一时，彼一时
cyx' 成也萧何，败也萧何
czh' 差之毫厘，谬以千里
czm' 藏之名山，传之其人
czw' 成则为王，败则为寇 吃着碗里，望着锅里
dbt' 道不同，不相为谋
dbz' 貂不足，狗尾续
ddb' 当断不断，反受其乱
ddd' 得道多助，失道寡助
dgy' 道高一尺，魔高一丈
djz' 当局者迷，旁观者清
dlc' 大路朝天，各走一边
dms' 当面是人，背后是鬼
dmy' 当面一套，背后一套
dnb' 大难不死，必有后福
dqr' 刀枪入库，马放南山
drj' 端人家碗，受人家管
dsd' 丁是丁，卯是卯
dsh' 大事化小，小事化了
dsn' 爹死娘嫁人，各人顾各人
dsp' 读书破万卷，下笔如有神
dwj' 读万卷书，行万里路
dxv' 东向而望，不见西墙
dyj' 东一句，西一句
dyr' 但愿人长久，千里共婵娟
dzq' 道阻且长，行则将至
dzy' 动之以情，晓之以理
dzz' 刀子嘴，豆腐心
fcz' 覆巢之下，焉有完卵
fjb' 分久必合，合久必分
fll' 风里来，雨里去
fmz' 防民之口，甚于防川
frd' 福如东海，寿比南山
fsh' 风声鹤唳，草木皆兵
fsw' 翻手为云，覆手为雨
fsy' 凡事预则立，不预则废
fws' 福无双至，祸不单行
fwz' 非我族类，其心必异
fxt' 放下屠刀，立地成佛
gbc' 高不成，低不就
gcl' 刚出狼窝，又入虎口
gfg' 苟富贵，勿相忘
ggj' 关关雎鸠，在河之洲
gms' 革命尚未成功，同志仍需努力
gwg' 过五关，斩六将
gys' 工欲善其事，必先利其器
gyt' 挂羊头，卖狗肉
hbj' 活不见人，死不见尸
hdl' 活到老，学到老 皇帝轮流坐，明年到我家
hgy' 行高于人，众必非之
hhx' 好好学习，天天向上
hjy' 行家一出手，就知有没有
hkl' 花开两朵，各表一枝
hkp' 海阔凭鱼跃，天高任鸟飞
hnb' 海纳百川，有容乃大
hnc' 海内存知己，天涯若比邻
hrz' 害人之心不可有，防人之心不可无
hsb' 好事不出门，坏事传千里
hzj' 呼之即来，挥之即去
jbd' 剪不断，理还乱
jbk' 机不可失，时不再来
jcs' 精诚所至，金石为开
jdb' 旧的不去，新的不来
jgj' 鞠躬尽瘁，死而后已
jjs' 嫁鸡随鸡，嫁狗随狗
jkg' 进可攻，退可守
jlz' 既来之，则安之 捡了芝麻，丢了西瓜
jrc' 静如处子，动如脱兔 静若处子，动若脱兔
jry' 救人一命，胜造七级浮屠
