^baiu 吡
^bcoa 泊
^beau 扁
^bfei 棓
^bfou 杓
^bgei 藨
^bjei 搒
^bjoe 扒
^bka 曝
^bki 暴
^bloe 玢
^bmei 磅
^bpe 膀
^bsia 堡
^bsi 便
^bxu 陂
^caai 呲
^caau 嘬
^caeo 啴
^caia 嘲
^caia 喳
^ccue 澄
^ccio 参
^cdei 幢
^cfau 查
^cgi 藏
^chou 朝
^choi 酢
^cjau 撮
^cjue 掺
^ckaa 车
^ckou 匙
^cmau 厕
^cni 婼
^cnou 婤
^coai 乘
^coee 长
^crau 畜
^crio 颤
^csii 传
^csuo 仇
^csau 侧
^csau 俶
^csei 裳
^csui 伺
^ctau 曾
^ctai 焯
^ctoa 熜
^cwae 惝
^cyio 臭
^dauo 叨
^daeo 蹲
^daia 呆
^daia 嗒
^dcau 沓
^dcoa 翟
^ddau 峒
^ddia 町
^ddii 帱
^ddiu 囤
^deo 调
^dfe 柁
^dfoo 楯
^djeo 掸
^dlee 焘
^dsau 佃
^dta 单
^duou 坻
^dvue 骀
^dya 铛
^dyoe 铫
^dyoi 铤
^fee 房
^fma 否
^fou 繁
^fpei 彷
^fpia 脯
^fruu 冯
^fua 番
^fuoe 垺
^gaia 咁
^gaia 唝
^gau 咖
^gcoe 矜
^gdoe 蛤
^gfiu 柜
^gfoe 桧
^gge 莞
^ghui 嘏
^gmia 矼
^gmou 硌
^gre 戆
^gsoa 傀
^gsu 伽
^gua 谷
^gvo 给
^gvoi 纥
^haau 嘿
^haau 哕
^haia 呵
^haoi 吽
^hcae 洸
^hcoe 浍
^hdi 虹
^hdau 圜
^hdou 鹘
^hgi 荤
^hmu 夯
^hna 嬛
^hoou 鹄
^hsi 会
^hsau 合
^hsio 颌
^hvi 红
^hye 镐
^jaai 噱
^jaau 咀
^jaei 蹴
^jcio 颈
^jcoi 湫
^jcou 氿
^jcue 浚
^jdo 见
^jeoe 袷
^jfaa 槛
^jfou 枸
^jgoa 葰
^jgoe 芥
^jha 贾
^jia 句
^jiu 解
^jkeo 炅
^joia 筠
^joio 稽
^joui 犍
^jro 将
^jria 廑
^jsei 倞
^jtue 焌
^juau 趄
^jui 颉
^jvoa 缴
^jvaa 剿
^jvau 缉
^jwei 恔
^jxo 降
^jxii 亟
^kae 咳
^kaei 吭
^kca 溃
^kfe 卡
^kfiu 楷
^kfoi 栝
^kfu 龈
^kji 扛
^kjo 括
^kqu 阚
^krou 竘
^kuou 壳
^laii 哢
^lao 咯
^lcau 漯
^lfou 栎
^liau 鬲
^lie 乐
^lla 靓
^lni 姥
^lpi 腊
^lru 率
^lvoe 纶
^lwau 悝
^mceu 泌
^meo 祢
^mgau 蔓
^moe 秘
^naia 喏
^nba 尿
^nge 苧
^nii 鸟
^nli 弄
^nsia 佴
^nvuu 乜
^pbe 屏
^pbe 辟
^pca 瀑
^pdoa 睥
^peoa 裨
^pgiu 芘
^pgoe 莩
^pia 刨
^plu 耙
^pto 炮
^pvia 骠
^pvo 缏
^pyoa 魄
^qaoe 蹊
^qba 强
^qci 浅
^qde 圈
^qdi 且
^qdeo 蝤
^qdia 嵌
^qdoa 瞿
^qdoi 峤
^qeou 祇
^qgei 荠
^qgi 茜
^qgiu 苣
^qgu 茄
^qgui 荨
^qhae 鞘
^qhoi 乾
^qko 区
^qlio 契
^qmi 奇
^qtu 券
^qtui 炔
^qvi 骑
^qyou 铅
^rgia 葚
^sbo 属
^scau 渑
^sceu 沈
^sde 蛇
^seau 识
^see 说
^seeo 禅
^sfe 术
^sga 省
^sgei 莘
^siuu 氏
^siei 鳣
^sjia 揲
^sma 石
^smau 盛
^snio 娠
^spei 膻
^ssue 俟
^sua 刹
^suau 螫
^svau 缲
^swo 宿
^swoe 忪
^taio 呔
^tbe 弹
^tcou 澹
^tcu 汤
^tdou 骰
^teau 禔
^tgiu 荑
^tguo 苕
^tha 覃
^tja 提
^tku 屯
^tnu 嬥
^toei 穜
^tsae 倘
^tsau 侗
^tuau 垌
^tuia 塔
^tuua 趯
^tvi 驮
^txo 陶
^vaa 嗯
^vaeo 嗌
^vaio 嗄
^vaui 喔
^vdii 凹
^vgo 艾
^vhe 恶
^viii 犴
^vjuu 拗
^vnoe 姶
^waia 唔
^wbo 尾
^wbi 尉
^wca 涡
^wcee 涴
^wgu 蔚
^wko 万
^wlei 玟
^wnii 妧
^wxo 隗
^xai 吓
^xaai 嘘
^xaai 唬
^xaio 嚣
^xceu 浒
^xdae 蛸
^xdi 虾
^xeau 裼
^xfe 校
^xfia 栖
^xhui 巷
^xia 系
^xiua 郇
^xiuo 饧
^xji 挟
^xku 邪
^xlio 砉
^xmio 厦
^xpi 行
^xsou 歙
^xsou 翛
^xuii 圩
^xuua 郗
^xuua 郄
^xvoi 纤
^xyia 镡
^yai 叶
^yaii 吁
^ycue 涌
^ydeu 遗
^ygee 菀
^ypio 腌
^yriu 疟
^yroe 於
^ysa 俞
^ysiu 侥
^ysoi 仡
^ytaa 剡
^yuoo 圻
^yuou 繇
^ywei 窨
^yxai 阽
^zaia 喋
^zbe 粥
^zcii 溱
^zciu 沌
^zdia 峙
^zfia 楂
^zfia 椹
^zfoa 椎
^zfoe 枞
^zfou 栅
^zgai 茈
^zgio 葴
^ziii 鲭
^zja 拽
^zjia 挝
^zjoi 攒
^zjoo 折
^zku 轧
^zmia 殖
^zna 召
^zoi 重
^zroe 卒
^zsei 僮
^ztai 粘
^ztuu 兹
