a 丨 亅
aa 刂
aaeoi 业
aaeoieoauaoe 黹
aaeoieoauaoeiauiiae 黼
aaeoieoauaoeiouee 黻
aaeoieoiiaua 凿
aaeoiua 邺
aaoieauaai 监
aaoieauai 临
aaoieauou 览
aaoieoeiiaeoi 鉴
aaueauii 肾
aaueauoe 贤
aaueeieoi 竖
aaueiai 坚
aaueuueaoe 紧
aauii 旧
ae 卜
aeioe 氺
aeo 
aeoauaui 尚
aeoauauioioe 敞
aeoauauioioeoiiu 氅
aeoauii 肖
aeoauiiaa 削
aeoauiieue 逍
aeoeu 
aeoeuauiaua 常
aeoeuauiauoe 赏
aeoeuauieiouoe 裳
aeoeuauiiai 堂
aeoeuauiiaoe 棠
aeoeuauiiuao 牚
aeoeuauioiia 掌
aeoeuauiou 党
aeoeuiiue 尝
aeoiou 光
aeoioueuiuia 辉
aeoiouueiueioaeiiiai 耀
aeouii 当
ai 丄
aiai 止 卝
aiaiaoo 步
aiaiaooioauoe 频
aiaiaooioauoeoauiioia 颦
aiaiauii 肯
aiaiiaue 歧
aiaiiia 芈
aiaioeoeioeoeua 齒
aiaioeua 齿
aiaioeuaaiaiou 龇
aiaioeuaauiaioe 龊
aiaioeuaauiii 龃
aiaioeuaiauiaui 龉
aiaioeuaoauiauaie 龋
aiaioeuaoeeue 龄
aiaioeuaoiu 龁
aiaioeuaou 龀
aiaioeuaouuiu 龅
aiaioeuauiiuoe 龈
aiaioeuauioiueiai 龌
aiaioeuauoaui 龆
aiaiou 此
aiaiouauoe 赀
aiaioueiiiaui 訾
aiaiouiaoe 柴
aiaiouii 些
aiaiouioaui 砦
aiaiouoaeiiiai 雌
aiaiouououiia 觜
aiaiouuueaoe 紫
aiaui 占 凸
aiauiauou 觇
aiauieeee 点
aiauiiia 卓
aiauiiiaeue 逴
aiauiiiaoe 桌
aiauiiuoe 战
aiauiu 乩
aiauoe 贞
aiauoeeeeei 鹵
aiauoei 卤
aiauoeieoiiioiai 鹾
aiauuii 卣
aieuioeoeauiii 睿
aieuioeoeauiueiai 壑
aii 上
aiiae 卡
aiiaiiiaia 鬥
aiiaoeue 叔
aiiaoeueauiii 督
aiieuee 忐
aiiiaiii 非
aiiiaiiiaa 剕
aiiiaiiiauaiauieoiua 酆
aiiiaiiiauiaie 蜚
aiiiaiiieioe 斐
aiiiaiiieiouoe 裴
aiiiaiiieuee 悲
aiiiaiiii 韭
aiiiaiiiiuia 辈
aiiiaiiiueiuei 翡
aiiou 北
aiiouauiaiiaaioe 冀
aiiouauii 背
aiiouua 邶
aioue 歺
aioueueeoiaoe 粲
aioueueoeeuiiuoe 餐
aiouoooeiouoooeua 豳
aiue 攴
aiuio 卢
aiuioioauoe 颅
aiuiooueui 鸬
aiuoiu 虍
aiuoiuaaeoi 虚
aiuoiuaaeoiauou 觑
aiuoiuauiiioe 虞
aiuoiueioe 虔
aiuoiueuee 虑
aiuoiuiouoooeeue 遽
aiuoiuiui 虐
aiuoiuou 虎
aiuoiuouaiuoiuou 虤
aiuoiuouooo 彪
aiuoiuuo 虏
aoaua 帅
aoe 小
aoee 
aoeiai 尘
aoeioe 尖
aoeioeaoe 尜
aoeo 少
aoeoaeiiiai 雀
aoeoauiii 省
aoeouo 劣
aoiaua 师
aouii 归
au 冂
aua 山 巾
auaaaeoieoiiioe 幞
auaaeoauii 峭
auaai 皿 罒
auaaiaiauiiia 罩
auaaiaiiiaiii 罪
auaaiaui 帖
auaaiauoe 帧
auaaieeaoaeiiiai 罹
auaaieiiiaui 詈
auaaieoauaeoiauii 罾
auaaieuaa 罚
auaaiiaaiauiiauui 羁
auaaiiaaueoiia 罱
auaaiiaaui 罟
auaaiiaauiiii 置
auaaiiaiai 罡
auaaiiaioauii 署
auaaiiaiue 罢
auaaiiaiueeeee 罴
auaaiiauiouoeoueui 鹮
auaaiioae 罘
auaaiioeauiiu 罨
auaaiouauiaie 蜀
auaaioue 罗
auaaioueeue 逻
auaaioueuoauiai 罶
auaaouii 岿
auaauiaauii 崮
auaauiai 岫
auaauiaieuee 崽
auaauiaui 峒
auaauiauiiiu 崿
auaauiia 岬
auaauiiaeoiou 幌
auaauiiaiei 帼
auaauiiauaaiue 幔
auaauiiauiii 帽
auaauioe 帜
auaauoe 岗
auaauou 岘
auaeeuiiaoe 崇
auaeeuoeiai 崆
auaeiauiauaui 嵩
auaeiauiuai 崞
auaeieoiauiiaii 幢
auaeieoiauiiia 嶂 幛
auaeioeoeauii 嵴
auaeioeoeia 崒
auaeoiaoeoueiua 嶙
auaeoiaoeuoi 嵝
auaeoiiioiai 嵯
auaeoiioa 帡
auaeoiuueuue 嵫
auaiaaeuiaoe 嵘
auaiaaeuuo 崂
auaiaaiiouoe 嵌
auaiaaui 岵
auaiaauiiiioeioauoe 巅
auaiaiiae 峙
auaiaiiaiiae 崶
auaiaioeoue 崚
auaiaiouoe 崁
auaiaoeauiii 嵖
auaiaoeoeue 崧
auaiauaaiiiaoe 幖
auaiauaaiuoi 崾
auaiaue 岐
auaiauia 岢
auaiauiauiai 幅
auaieoiaoe 崃
auaieoioe 峡
auaii 冉
auaiiaiauoe 帻
auaiiioiae 帱
auaiioa 岍
auaiiua 帏
auaioauaa 峏
auaioauaaeue 遄
auaioauaaioauoe 颛
auaioaui 岩
auaioeauiiu 崦
auaioeiauia 崎
auaioeooe 炭
auaioeu 岖
auaioiaiiai 崖
auaioiauiuoe 嵅
auaioiia 岸
auaioiuoiuoe 崴
auaiuaiooia 崭
auaiuao 岈
auaiuaoe 岽
auaiui 屿
auaoaeiiiai 崔 帷
auaoauii 帕
auaoauiiouue 嵬
auaoeeu 岑
auaoeeue 岭
auaoeiauiiaa 嵛
auaoeieeoi 崄
auaoeioauii 崤
auaoeoeaui 峪
auaoeoiaoeauiai 幡
auaoiaaiiouoe 嵊
auaoiaiuoe 峨
auaoiaoeuoioauiiouue 巍
auaoiioe 帙
auaoioeoa 峤
auaoiu 屹
auaoiue 帐
auaouaui 岣
auaouauii 峋
auaoue 岁 帆 岌
auaoueaa 刿
auaoueiiia 峰
auaouiiouii 崩
auaouiouu 峗
auaouoe 岚
auaouoiioeueuaioe 嶷
auaououa 峁
auaouuiia 峥
auaua 邖
auauaaieiuoi 圐
auauaaiiauiouoei 圜
auauaioauiii 嵋
auauaiu 岜
auaueiia 峄
auaueoeoue 峻
auaueooeiauieoi 嶝
auaui 凹
auauiauoei 圆
auauieue 迥
auauii 回
auauioiaaui 崌
auauioiueiai 幄
auauiou 兕
auauiouaaua 崛
auauiu 岂 屺
auauiuaa 剀
auauiuauou 觊
auauiuiu 岷
auauiuou 凯
auauoaue 帔
aueoiaiieeee 黑
aueoiaiieeeeeiauiaoe 黥
aueoiaiieeeeeieoiauii 黯
aueoiaiieeeeiai 墨
aueoiaiieeeeiaiaui 黠
aueoiaiieeeeiaueeioe 黩
aueoiaiieeeeioee 默
aueoiaiieeeeoeeu 黔
aueoiaiieeeeoueoue 黟
aueoiaiieeeeuaaua 黜
aueoiaiieeeeueioeooo 黪
aueoiaiieeeeueoeoue 黢
aueoiaiieeeeuueuo 黝
aueoieiu 罔
aueoiioeuui 圈
aui 口 囗
auia 中
auiaaeoieoiiioe 噗
auiaai 曲
auiaaioe 典
auiaauaai 盅
auiaauii 固
auiae 卟
auiaeoauii 哨
auiaeoauoe 唢
auiaeoiou 咣
auiaeuee 忠
auiai 由 田
